Material,Type,National gwp (kgCO2/yd3),Seattle gwp (kgCO2/yd3),Milwaukee gwp (kgCO2/yd3),San Antonio gwp (kgCO2/yd3),Los Angeles gwp (kgCO2/yd3),Atlanta gwp (kgCO2/yd3),New York City gwp (kgCO2/yd3),OLD
Gyp,Interior Finish,500,0,0,0,0,0,0,
Plywood,Exterior Sheathing,306,0,0,0,0,0,0,
Brick,Façade Cladding,1000,0,0,0,0,0,0,
Fiber Cement,Façade Cladding,900,0,0,0,0,0,0,
Steel Panel,Façade Cladding,15982,0,0,0,0,0,0,
Wood,Façade Cladding,478,0,0,0,0,0,0,
CLT,Exterior Wall Framing,144.9,0,0,0,0,0,0,
Concrete,Exterior Wall Framing,358.2,0,0,0,0,0,0,
2x4 Wood Studs,Exterior Wall Framing,42,0,0,0,0,0,0,
2x6 Wood Studs,Exterior Wall Framing,42,0,0,0,0,0,0,
2x8 Wood Studs,Exterior Wall Framing,42,0,0,0,0,0,0,
2x10 Wood Studs,Exterior Wall Framing,42,0,0,0,0,0,0,
2x12 Wood Studs,Exterior Wall Framing,42,0,0,0,0,0,0,
Glulam,Beams or columns,157.3,0,0,0,0,0,0,
GypsumX,Type X fire protecting sypsum,549,0,0,0,0,0,0,
Rebar,Beams or columns,6492,0,0,0,0,0,0,
Steel,plates,11237,0,0,0,0,0,0,
Aluminum,Façade Cladding,78400,0,0,0,0,0,0,
Glass Double,Windows,6900,0,0,0,0,0,0,
Glass Triple,Windows,6900,0,0,0,0,0,0,
EPS,Insulation,319.1963242,0,0,0,0,0,0,
Fiberglass,Insulation,198.5733889,0,0,0,0,0,0,
Rockwool,Insulation,126.4826275,0,0,0,0,0,0,
Polyiso,Insulation,448.3777194,0,0,0,0,0,0,
Cellulose,Insulation,232.790112,0,0,0,0,0,0,
Glass Single,Windows,6900,0,0,0,0,0,0,
